ShshldinNWAK2008	UN	AV36	54 46	-164 8	
ShshldinSWAK2008	UN	AV37	54 43	-163 60	
IsanotskiNAK2008	UN	AV38	54 50	-163 47	
ShishaldinAK2008	UN	AV39	54 49	-163 60	
BrownPeak_AK2008	UN	AV40	54 39	-163 45	
AVRY_SCGN_CS1998	UN	AVRY	34 28	-117 9	
Aysen	UN	AYSE	-45 24	-72 41	
AnzaGravelExcavationSite	UN	AZRY	33 32	-116 38	
AZU1_SCGN_CS1996	UN	AZU1	34 8	-117 54	
BackerIsland	UN	BACK	-74 26	-102 29	
BaltimoreCounty	UN	BACO	39 24	-76 36	
Badary	UN	BADG	51 46	102 14	
Baghachari	UN	BAGH	23 10	92 12	
BAIERACS-GSD	UN	BAIE	49 11	-68 16	
Mt.Baker	UN	BAKC	0 21	29 54	
BAKECACS-ACP	UN	BAKE	64 19	-96 0	
BAKOSURTANAL	UN	BAKO	-6 29	106 51	
Baku	UN	BAKU	40 22	49 49	
BaldMountain	UN	BALD	37 47	-118 54	
Bamfield	UN	BAMF	48 50	-125 8	
BAMO_BRGN_NV2003	UN	BAMO	40 25	-117 12	
Bangalore	UN	BAN2	13 2	77 31	
BAR1_SCGN_CS2002	UN	BAR1	33 29	-119 2	
Barahona	UN	BARA	18 13	-71 6	
BarHarbor	UN	BARH	44 24	-68 13	
Barkhol	UN	BARK	22 44	92 23	
Barrow_Arctic_RC	UN	BARO	71 20	-156 40	
BarrowCommunityBaseStation	UN	BASC	71 19	-156 41	
BaseStation	UN	BASE	42 36	-114 52	
TallTowerAWS_GPS	UN	BATG	-79 0	170 44	
BatMountain	UN	BATM	36 24	-116 31	
BATT	UN	BATT	40 31	-117 13	
BrigadaAviacionEjercito	UN	BAVE	-34 10	-70 46	
ColdBay2	UN	BAY2	55 11	-162 42	
Saginaw	UN	BAYR	43 27	-83 54	
BBDM_SCGN_CS2000	UN	BBDM	34 35	-119 59	
BBID_EBRY_ID2002	UN	BBID	44 11	-111 32	
BBRY_SCGN_CS1998	UN	BBRY	34 16	-116 53	
BBUT	UN	BBUT	41 26	-118 18	
CoroCoro	UN	BCOR	-17 11	-68 26	
BitterCreekWildlifeRefuge	UN	BCWR	34 55	-119 24	
BCYIGPS	UN	BCYI	44 19	-113 24	
